Astar Materyali,Ayakkabi Tabani,Baglama Sekli,Bilek Stili,Boy / Olcu,Deri Kalitesi,Desen,Dis Materyal,Ek Ozellik,Kalip,Koleksiyon,Kullanim Alani,Kumas Tipi,Okula Donus,Renk,Saya Materyali,Spor Bransi,Spor Turu,Taban,Taban Materyali,Taban Tipi,Topuk Tipi,Zemin,Cesit,Civi Tipi,Izolasyon,Ic Taban Materyali,price
0,0,1,0,0,0,0,0,0,0,0,4,0,0,1,0,4,0,0,0,0,0,0,1,0,0,2,223 
2,0,1,0,0,0,2,0,1,0,0,0,1,0,1,2,0,0,0,1,4,2,0,0,0,0,2,2504 
0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,719 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,666 
0,0,1,0,0,0,1,0,0,0,0,1,1,0,3,0,0,0,0,0,1,1,0,0,0,0,0,3295 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11590 
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3990 
0,0,1,0,0,0,1,2,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,4505 
3,0,1,0,0,2,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,3,3890 
0,0,3,0,0,0,0,0,1,1,0,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2899 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1147 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,249 
0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0,8573 
0,0,1,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,1,1,0,0,180 
0,0,1,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,19861 
0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,2,0,0,0,0,0,389 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4999 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4219 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,879 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1154 
2,0,1,0,0,0,4,2,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,2,3995 
0,0,1,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2676 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1049 
0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,4495 
0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,677 
0,0,1,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,413 
0,0,1,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1249 
2,0,1,0,0,0,2,2,1,0,0,1,1,0,1,2,0,0,0,0,0,1,0,0,0,0,2,2445 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1874 
0,0,1,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0,0,2649 
0,0,0,0,0,0,0,0,0,0,0,4,0,0,13,0,4,0,0,0,0,0,0,1,0,0,0,183 
1,0,1,0,0,1,1,5,3,0,4,1,4,1,1,1,0,0,0,2,1,1,0,0,0,0,1,1797 
0,0,1,0,0,0,1,0,1,0,0,0,1,0,5,0,0,0,0,0,0,4,0,0,0,0,0,1249 
1,0,1,0,0,0,1,2,0,0,0,1,4,0,4,1,0,0,0,3,4,1,0,0,0,0,1,2419 
1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,5,0,1,0,0,0,0,1,399 
0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,3465 
0,0,1,0,0,0,2,0,1,0,0,1,1,0,1,0,0,0,0,0,3,1,0,0,0,0,0,3795 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,640 
1,0,0,0,0,0,1,0,0,0,14,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,940 
2,0,1,0,0,3,5,2,2,0,2,1,2,0,2,2,0,0,0,3,5,1,0,0,0,0,2,4099 
0,0,2,0,4,0,0,3,0,1,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,4990 
1,0,1,0,2,3,3,2,2,1,3,1,2,1,1,2,0,1,2,2,0,1,0,0,0,1,1,3990 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,17990 
0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2937 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5455 
0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3695 
2,0,1,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,189 
0,0,1,0,0,0,2,0,1,0,0,1,1,0,6,0,0,0,0,0,3,1,0,0,0,0,0,2663 
1,0,1,0,0,1,3,2,2,0,11,1,3,1,1,1,0,0,0,5,1,1,0,0,0,0,1,1915 
0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2947 
1,0,1,0,0,0,10,2,1,0,4,1,4,0,1,1,0,0,0,4,1,1,0,0,0,0,1,2699 
0,0,1,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,799 
