,Astar Materyali,Ayakkabı Tabanı,Bağlama Şekli,Bilek Stili,Boy / Ölçü,Deri Kalitesi,Desen,Dış Materyal,Ek Özellik,Kalıp,Koleksiyon,Kullanım Alanı,Kumaş Teknolojisi,Kumaş Tipi,Materyal,Materyal Bileşeni,Okula Dönüş,Ortam,Persona,Renk,Saya Materyali,Spor Branşı,Spor Türü,Sürdürülebilir,Sürdürülebilirlik Detayı,Taban,Taban Materyali,Taban Teknolojisi,Taban Tipi,Topuk Boyu,Topuk Tipi,Zemin,Çeşit,Çivi Tipi,Özellik,İzolasyon,İç Taban Materyali,url,price
,,,Bağcıklı,,,,,Süet,,,,Spor,,,Tekstil,,,,,Siyah,,,,,,,,Phylon/Termo (Kaydırmaz) Taban,Düz Taban,,,,,,,,,https://www.trendyol.com/lujinstore/unisex-spor-ayakkabi-p-123332989,"139,99 TL"
,,,,,,,,,,,,,,,Peluş,,,,,Beyaz,,,,,,,,,,,,,,,,,,https://www.trendyol.com/slipcat/tavsan-figurlu-beyaz-pelus-panduf-ev-pandufu-unisex-p-343055239,"99,74 TL"
,,,Bağcıklı,,,,,,,,,,,,Poliüretan,,,,,Beyaz,,,,,,,,,Düz Taban,,,,,,,,,https://www.trendyol.com/bershka/cok-katli-spor-ayakkabi-p-336276940,"399,05 TL"
,,,,,,,,,,,,,,,,,,,,Gri,,,,,,,,,,,,,,,,,,https://www.trendyol.com/twigy/yy0271-tw-siberia-erkek-hayvanli-panduf-gri-40-45-p-165222968,"199,99 TL"
,Suni Deri,,Bağcıklı,,,,,Suni Deri,,,,,,,,,,,,Siyah,,,,,,,PVC,,Kalın Taban,Kısa Topuklu (1- 4 cm),,,,,,,,https://www.trendyol.com/soho-exclusive/siyah-beyaz-unisex-sneaker-14361-p-34108212,"105,29 TL"
,Tekstil,,Bağcıklı,,,,,Tekstil,Ortopedik Taban,,,Outdoor,,,Tekstil,,,Casual&Comfort,Cool Comfort,Siyah,Tekstil,,,,,,PVC,Air Zoom,Düz Taban,Kısa Topuklu (1- 4 cm),Düz Topuklu,,,,,,Tekstil,https://www.trendyol.com/mech-butik/unisex-gunluk-kadin-erkek-siyah-beyaz-bilekli-my-melody-kuromi-baskili-sneaker-keten-spor-ayakkabi-p-305352460,"245,81 TL"
,,,,,,,,,,,,,,,Tekstil,,,,,Gri,,,,,,Kauçuk,Termoplastik,,,,,,,,,,,https://www.trendyol.com/fogs/unisex-panduf-ev-ici-ayakkabisi-yumusak-taban-p-51876310,"64,35 TL"
,,,Bağcıklı,,,,,Suni Deri,,,,Outdoor,,,Suni Deri,,Üniversite,,,Beyaz,,,,,,,,Air Zoom,Kalın Taban,,,,,,,,,https://www.trendyol.com/entiti/suni-deri-yuksek-taban-spor-ayakkabi-gunluk-ayakkabi-p-148746124,"279,99 TL"
,,,,,,,,,,,,,,,Tekstil,,,,,Gri,,,,,,Tekstil,,,,,,,,,,,,https://www.trendyol.com/twigy/unisex-siberia-hayvanli-gri-panduf-yeni-sezon-kurt-p-166195654,239 TL
,,,,,,,,,,,,Spor,,,Tekstil,,,,Cool Comfort,Siyah,,,,,,,,,Düz Taban,,Düz Topuklu,,,,,,,https://www.trendyol.com/adidas/breaknet-siyah-erkek-sneaker-ayakkabi-p-48886053,849 TL
,,,,,,,,,,,,,,,Tekstil,,,,,Siyah,,,,,,,,,,,,,,,,,,https://www.trendyol.com/xstreet/jota-unisex-spor-ayakkabi-kosu-yuruyus-ayakkabisi-p-282423652,"165,28 TL"
,,,Bağcıklı,,,,,Tekstil,,,,Spor,,,,,,,,Siyah,,,,,,,EVA,,,,,,,,,,,https://www.trendyol.com/adidas/runfalcon-2-0-k-spor-ayakkabi-cblack-ftwwht-p-79599970,849 TL
,,,Fermuarlı,,Uzun,,,Suni Deri,Ortopedik Taban,Bol,,Günlük,Suya Dayanıklı,,Polar,,,,,Gri,,,,,,Kauçuk,,,,Kısa Topuklu (1- 4 cm),Kalın Topuklu,,,,,,,https://www.trendyol.com/yabuman/unisex-siyah-kislik-uzun-dayanikli-kaucuk-taban-bot-outdoor-postal-oly-203-p-204089179,"349,30 TL"
,,,,,,,,,,,,,,,,,,,,Siyah,,,,,,,,,,,,,,,,,,https://www.trendyol.com/us-polo-assn/us-polo-assn-clark-cirtli-sicak-astarli-unisex-kar-botu-siyah-p-353518500,"581,99 TL"
,Tekstil,,Bağcıklı,,,,,Tekstil,,,,Outdoor,,,Tekstil,,,,,Siyah,,,,,,,Kauçuk,Kauçuk Taban,Kalın Taban,Orta Topuklu (5-9 cm),Dolgu Topuklu,,,,,,Tekstil,https://www.trendyol.com/adasu/wanderson-run-star-unisex-canvas-sneaker-ayakkabi-p-221511955,225 TL
