Unnamed: 0,Astar Materyali,Bağlama Şekli,Desen,Dış Materyal,Ek Özellik,Kullanım Alanı,Kumaş Tipi,Materyal,Materyal Bileşeni,Ortam,Persona,Renk,Saya Materyali,Taban Materyali,Taban Teknolojisi,Taban Tipi,Topuk Boyu,Topuk Tipi,İç Taban Materyali,url,price
• Silerek temizleyebilirsiniz • Detaylı bakım talimatları için lütfen ürün etiketini kontrol ediniz.,,Bağcıklı,Düz,,,,,Suni Deri,100% Pamuk,Casual&Comfort,,Siyah,,,,,Kısa Topuklu (1- 4 cm),Düz Topuklu,,https://www.trendyol.com/tonny-black/unisex-siyah-siyah-yani-cizgili-bagcikli-rahat-kalip-sneaker-p-323411008,2187 
,,Bağcıklı,,Suni Deri,,Spor,,EVA / PVC,,,,Beyaz,,,Eva Taban,Düz Taban,,,,https://www.trendyol.com/adidas/forum-low-j-gunluk-spor-ayakkabi-p-124732911,1499 
,Hakiki Deri,Bağcıklı,,,Ortopedik Taban,,,Hakiki Deri,,Casual,Cool Comfort,Siyah,Hakiki Deri,Kauçuk,,,Kısa Topuklu (1- 4 cm),Düz Topuklu,Hakiki Deri,https://www.trendyol.com/muggo/pedri-erkek-hakiki-deri-kislik-ayakkabi-p-145579917,2901 
,Hakiki Deri,Bağcıklı,,,,,,Hakiki Deri,,,,Siyah,,,,,,,Hakiki Deri,https://www.trendyol.com/derilax/hakiki-deri-tam-ortopedik-erkek-ayakkabi-p-72332448,4499 
,,Bağcıklı,,Tekstil,,Spor,,Tekstil,,,Cool Comfort,Siyah,,,,Düz Taban,,Düz Topuklu,,https://www.trendyol.com/vans/old-skool-unisex-ayakkabi-vn000d3hy281-p-1738026,1349 
• Silerek temizleyebilirsiniz • Detaylı bakım talimatları için lütfen ürün etiketini kontrol ediniz.,,Bağcıklı,Düz,,Ortopedik Taban,,,Suni Deri,100% Materyal bilgisi için iç etiketi kontrol ediniz.,Sportswear,,Siyah,,,,,Kısa Topuklu (1- 4 cm),Düz Topuklu,,https://www.trendyol.com/tonny-black/unisex-siyah-beyaz-bagcikli-rahat-kalip-nefes-alabilen-kumas-sneaker-p-323419125,1936 
,,Bağcıklı,,Tekstil,,Spor,,Tekstil,,,Cool Comfort,Siyah,,,,Düz Taban,,Düz Topuklu,,https://www.trendyol.com/puma/anzarun-lite-siyah-erkek-kosu-ayakkabisi-100644556-p-42737001,888 
,,,,,,,,Tekstil,,,,Siyah,,,,,,,,https://www.trendyol.com/beyond/ev-botu-ici-yunlu-yumusak-taban-unisex-pwr-panduf-siyah-p-141700949,599 
,,Bağcıklı,,Mikrofiber,,Basketbol,,,,,,Siyah,,,,,,,,https://www.trendyol.com/adidas/ownthegame-2-0-p-130021260,1199 
• Silerek temizleyebilirsiniz • Detaylı bakım talimatları için lütfen ürün etiketini kontrol ediniz.,Suni Deri,Bağcıklı,Renk Bloklu,Suni Deri,Ortopedik Taban,Spor,Örme,Suni Deri,100% Suni Deri,Sportswear,,Beyaz,Suni Deri,,,,Kısa Topuklu (1- 4 cm),Düz Topuklu,Suni Deri,https://www.trendyol.com/tonny-black/unisex-beyaz-faylon-taban-spor-ayakkabi-tbb013-p-239877797,2465 
,,Fermuarlı,,Mikrofiber,,Günlük,,Poliüretan,,,,Siyah,,,EVA Orta Taban,,Kısa Topuklu (1- 4 cm),Kalın Topuklu,,https://www.trendyol.com/muggo/m1001-garantili-su-soguk-gecirmez-kurklu-garantili-unisex-kislik-fermuarli-bot-kaucuk-taban-s-p-31276102,1970 
,,,,,,,,Tekstil,,,,Siyah,,,,,,,,https://www.trendyol.com/puma/36516023-siyah-erkek-sneaker-p-34569640,799 
,Suni Deri,Bağcıklı,,Suni Deri,,,,,,,,Siyah,,,,,Kısa Topuklu (1- 4 cm),,,https://www.trendyol.com/nmoda/unisex-spor-ayakkabi-gunluk-sneakerss-p-35138737,1309 
